NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y
0.3200000000000002,0.3200000000000002,0.3200000000000002,0.2,0.3200000000000002,0.2753397149937514,0.3200000000000002,0.08790210775036966,0.3200000000000002,18.56654948506918,0.3200000000000002,38.49366085102204,0.3200000000000002,1.672552020631097e-05,0.3200000000000002,0.0006438265023786507,0.3200000000000002,-2.521886190833884e-14,0.3200000000000002,3.467669115903874e-05,0.3200000000000002,-8.96423986718581e-15,0.3200000000000002,-2.984463815842339e-15,0.3200000000000002,-5.377245960956656e-15
0.3280000000000002,0.3280000000000002,0.3280000000000002,0.2,0.3280000000000002,0.2753397149937514,0.3280000000000002,0.09245862530552136,0.3280000000000002,17.84248876464041,0.3280000000000002,36.56525436076043,0.3280000000000002,1.957361274165023e-05,0.3280000000000002,0.000715714128657462,0.3280000000000002,-2.601330151837645e-14,0.3280000000000002,4.01129090286878e-05,0.3280000000000002,-9.047706784073866e-15,0.3280000000000002,-2.997747656794765e-15,0.3280000000000002,-5.38171210316326e-15
0.3360000000000002,0.3360000000000002,0.3360000000000002,0.2,0.3360000000000002,0.2753397149937514,0.3360000000000002,0.09720259349813977,0.3360000000000002,17.1185542152871,0.3360000000000002,34.55145272398959,0.3360000000000002,2.285673283000022e-05,0.3360000000000002,0.0007897333238006133,0.3360000000000002,-2.67057171629984e-14,0.3360000000000002,4.613317888137736e-05,0.3360000000000002,-9.119159631972734e-15,0.3360000000000002,-3.012497539307063e-15,0.3360000000000002,-5.386361994105999e-15
0.3440000000000003,0.3440000000000003,0.3440000000000003,0.2,0.3440000000000003,0.2753397149937514,0.3440000000000003,0.1021156080665516,0.3440000000000003,16.40045122446399,0.3440000000000003,32.47277321172138,0.3440000000000003,2.664233498083474e-05,0.3440000000000003,0.0008651505016633581,0.3440000000000003,-2.730905370949527e-14,0.3440000000000003,5.275162797816607e-05,0.3440000000000003,-9.180266079573013e-15,0.3440000000000003,-3.028827946140016e-15,0.3440000000000003,-5.391223992988914e-15
0.3520000000000003,0.3520000000000003,0.3520000000000003,0.2,0.3520000000000003,0.2753397149937514,0.3520000000000003,0.1071790138887948,0.3520000000000003,15.69321824678447,0.3520000000000003,30.35189950560783,0.3520000000000003,3.101037406074176e-05,0.3520000000000003,0.0009412237571229419,0.3520000000000003,-2.783564268361147e-14,0.3520000000000003,5.997646514087484e-05,0.3520000000000003,-9.232568099656879e-15,0.3520000000000003,-3.046866033553869e-15,0.3520000000000003,-5.396328434509781e-15
0.3600000000000003,0.3600000000000003,0.3600000000000003,0.2,0.3600000000000003,0.2753397149937514,0.3600000000000003,0.1123743476685412,0.3600000000000003,15.00112705108462,0.3600000000000003,28.21289397267587,0.3600000000000003,3.60553795930556e-05,0.3600000000000003,0.001017226601603459,0.3600000000000003,-2.829669346204493e-14,0.3600000000000003,6.781001175063213e-05,0.3600000000000003,-9.2774357934256e-15,0.3600000000000003,-3.066752751158595e-15,0.3600000000000003,-5.401707035742814e-15
0.3680000000000003,0.3680000000000003,0.3680000000000003,0.2,0.3680000000000003,0.2753397149937514,0.3680000000000003,0.1176837098594504,0.3680000000000003,14.32764607096954,0.3680000000000003,26.08035004880238,0.3680000000000003,4.188852267945843e-05,0.3680000000000003,0.001092467334507473,0.3680000000000003,-2.870207382188246e-14,0.3680000000000003,7.62489057238914e-05,0.3680000000000003,-9.316053106522252e-15,0.3680000000000003,-3.088643880009275e-15,0.3680000000000003,-5.407392573314696e-15
0.3760000000000003,0.3760000000000003,0.3760000000000003,0.2,0.3760000000000003,0.2753397149937514,0.3760000000000003,0.1230900605286831,0.3760000000000003,13.67545412309404,0.3760000000000003,23.97851509080232,0.3760000000000003,4.863951966843025e-05,0.3760000000000003,0.001166303456378831,0.3760000000000003,-2.906027600695273e-14,0.3760000000000003,8.528444071281626e-05,0.3760000000000003,-9.349422962887432e-15,0.3760000000000003,-3.112711018448332e-15,0.3760000000000003,-5.41341874825675e-15
0.3840000000000003,0.3840000000000003,0.3840000000000003,0.2,0.3840000000000003,0.2753397149937514,0.3840000000000003,0.1285774395768575,0.3840000000000003,13.0464913809323,0.3840000000000003,21.93042271754849,0.3840000000000003,5.645815388895494e-05,0.3840000000000003,0.001238151180637186,0.3840000000000003,-2.937849060546234e-14,0.3840000000000003,9.490300069868985e-05,0.3840000000000003,-9.378382854038357e-15,0.3840000000000003,-3.13914253085945e-15,0.3840000000000003,-5.419820169757837e-15
0.3920000000000003,0.3920000000000003,0.3920000000000003,0.2,0.3920000000000003,0.2753397149937514,0.3920000000000003,0.134131116114555,0.3920000000000003,12.44203555750381,0.3920000000000003,19.95708047007599,0.3920000000000003,6.551512525495586e-05,0.3920000000000003,0.001307490626720262,0.3920000000000003,-2.966273486611534e-14,0.3920000000000003,0.0001050865528136562,0.3920000000000003,-9.403624964761484e-15,0.3920000000000003,-3.16814446080537e-15,0.3920000000000003,-5.426632404922699e-15
