NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:self_gain X,NM0:self_gain Y
0.2480000000000002,0.2480000000000002,0.2480000000000002,0.2,0.2480000000000002,0.2337845729304348,0.2480000000000002,0.07330312225131763,0.2480000000000002,21.64433067220942,0.2480000000000002,1.004485566765207e-06,0.2480000000000002,0.0001001911402517688,0.2480000000000002,-7.363764940494494e-14,0.2480000000000002,4.628978450472195e-06,0.2480000000000002,-1.565998941561482e-14,0.2480000000000002,-3.119151894982914e-15,0.2480000000000002,-5.479036589457686e-15,0.2480000000000002,99.74373307763804
0.2560000000000002,0.2560000000000002,0.2560000000000002,0.2,0.2560000000000002,0.2337845729304348,0.2560000000000002,0.07722682303382848,0.2560000000000002,20.94473799274354,0.2560000000000002,1.217754318373149e-06,0.2560000000000002,0.0001149609507087733,0.2560000000000002,-7.860092575337922e-14,0.2560000000000002,5.488774829899077e-06,0.2560000000000002,-1.624589246331231e-14,0.2560000000000002,-3.163371282347745e-15,0.2560000000000002,-5.497505614093992e-15,0.2560000000000002,94.40405915567158
0.2640000000000002,0.2640000000000002,0.2640000000000002,0.2,0.2640000000000002,0.2337845729304348,0.2640000000000002,0.08141293003371247,0.2640000000000002,20.2267867379307,0.2640000000000002,1.473252737452224e-06,0.2640000000000002,0.0001308965963286466,0.2640000000000002,-8.298536182667029e-14,0.2640000000000002,6.471447888835935e-06,0.2640000000000002,-1.675441995226455e-14,0.2640000000000002,-3.213923505091436e-15,0.2640000000000002,-5.51674854081225e-15,0.2640000000000002,88.84870396033553
0.2720000000000002,0.2720000000000002,0.2720000000000002,0.2,0.2720000000000002,0.2337845729304348,0.2720000000000002,0.08584941131780786,0.2720000000000002,19.49637411655014,0.2720000000000002,1.779208834783185e-06,0.2720000000000002,0.0001478983980683386,0.2720000000000002,-8.681658494242571e-14,0.2720000000000002,7.585943785675434e-06,0.2720000000000002,-1.71906936636787e-14,0.2720000000000002,-3.271364504948266e-15,0.2720000000000002,-5.536849039180129e-15,0.2720000000000002,83.12593506560549
0.2800000000000002,0.2800000000000002,0.2800000000000002,0.2,0.2800000000000002,0.2337845729304348,0.2800000000000002,0.09052212125164491,0.2800000000000002,18.75966191642237,0.2800000000000002,2.14566964295677e-06,0.2800000000000002,0.000165841149602479,0.2800000000000002,-9.014221555041333e-14,0.2800000000000002,8.84030588320175e-06,0.2800000000000002,-1.756214459506221e-14,0.2800000000000002,-3.336311592411013e-15,0.2800000000000002,-5.557928516135933e-15,0.2800000000000002,77.29109191941917
0.2880000000000002,0.2880000000000002,0.2880000000000002,0.2,0.2880000000000002,0.2337845729304348,0.2880000000000002,0.09541532106740137,0.2880000000000002,18.02271511605723,0.2880000000000002,2.584981659150687e-06,0.2880000000000002,0.0001845794815089843,0.2880000000000002,-9.302023102361437e-14,0.2880000000000002,1.024149138042563e-05,0.2880000000000002,-1.787708715894019e-14,0.2880000000000002,-3.409455579430603e-15,0.2880000000000002,-5.580136133332779e-15,0.2880000000000002,71.40456136529383
0.2960000000000002,0.2960000000000002,0.2960000000000002,0.2,0.2960000000000002,0.2337845729304348,0.2960000000000002,0.1005122029592156,0.2960000000000002,17.29120751343444,0.2960000000000002,3.112385921510289e-06,0.2960000000000002,0.0002039538338329558,0.2960000000000002,-9.551073959657366e-14,0.2960000000000002,1.17952337150725e-05,0.2960000000000002,-1.814375740670595e-14,0.2960000000000002,-3.491571666853826e-15,0.2960000000000002,-5.603641092028196e-15,0.2960000000000002,65.52973794907381
0.3040000000000002,0.3040000000000002,0.3040000000000002,0.2,0.3040000000000002,0.2337845729304348,0.3040000000000002,0.1057953900201277,0.3040000000000002,16.5702053083708,0.3040000000000002,3.746739477221722e-06,0.3040000000000002,0.0002237964155580622,0.3040000000000002,-9.767087427113242e-14,0.3040000000000002,1.350595308850327e-05,0.3040000000000002,-1.836975119267079e-14,0.3040000000000002,-3.583529368364407e-15,0.3040000000000002,-5.628627365226284e-15,0.3040000000000002,59.73097860650068
0.3120000000000002,0.3120000000000002,0.3120000000000002,0.2,0.3120000000000002,0.2337845729304348,0.3120000000000002,0.1112473900790584,0.3120000000000002,15.86402865233251,0.3120000000000002,4.511368249438751e-06,0.3120000000000002,0.000243936611980049,0.3120000000000002,-9.955208619811614e-14,0.3120000000000002,1.537671277136078e-05,0.3120000000000002,-1.856175686719835e-14,0.3120000000000002,-3.686301763766347e-15,0.3120000000000002,-5.655290520893934e-15,0.3120000000000002,54.07153628179135
0.3200000000000002,0.3200000000000002,0.3200000000000002,0.2,0.3200000000000002,0.2337845729304348,0.3200000000000002,0.1168509881600963,0.3200000000000002,15.17618374226884,0.3200000000000002,5.4350437907153e-06,0.3200000000000002,0.0002642054469800837,0.3200000000000002,-1.011990745179952e-13,0.3200000000000002,1.740921508795192e-05,0.3200000000000002,-1.872548063934466e-14,0.3200000000000002,-3.800974295320916e-15,0.3200000000000002,-5.683836099367163e-15,0.3200000000000002,48.61146609921093
