PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y,PM0:gds X,PM0:gds Y
0.2880000000000002,-0.2880000000000003,0.2880000000000002,-0.2,0.2880000000000002,-0.2566417921368623,0.2880000000000002,-0.07215761691078547,0.2880000000000002,20.19296713234106,0.2880000000000002,186.8623732979139,0.2880000000000002,3.663909030242177e-05,0.2880000000000002,-4.542175984608864e-14,0.2880000000000002,-1.814448073078598e-06,0.2880000000000002,-1.678195008390136e-14,0.2880000000000002,-3.187374151671831e-15,0.2880000000000002,-8.110510624944425e-15,0.2880000000000002,1.960752700277879e-07
0.2960000000000002,-0.2960000000000003,0.2960000000000002,-0.2,0.2960000000000002,-0.2566417921368623,0.2960000000000002,-0.07614264420687532,0.2960000000000002,19.51002590834812,0.2960000000000002,173.3212687621953,0.2960000000000002,4.149323811061056e-05,0.2960000000000002,-4.93359412274722e-14,0.2960000000000002,-2.126764890323899e-06,0.2960000000000002,-1.744606750188694e-14,0.2960000000000002,-3.205049223630309e-15,0.2960000000000002,-8.125212762130442e-15,0.2960000000000002,2.394007291023307e-07
0.3040000000000002,-0.3040000000000003,0.3040000000000002,-0.2,0.3040000000000002,-0.2566417921368623,0.3040000000000002,-0.08035445863125366,0.3040000000000002,18.81640450885353,0.3040000000000002,159.7199110549039,0.3040000000000002,4.664852286613986e-05,0.3040000000000002,-5.29383620534037e-14,0.3040000000000002,-2.479141158171007e-06,0.3040000000000002,-1.804756881184312e-14,0.3040000000000002,-3.22527545104557e-15,0.3040000000000002,-8.140387270783981e-15,0.3040000000000002,2.920645432246978e-07
0.3120000000000002,-0.3120000000000003,0.3120000000000002,-0.2,0.3120000000000002,-0.2566417921368623,0.3120000000000002,-0.08478102770183239,0.3120000000000002,18.11830640603934,0.3120000000000002,146.2127385675935,0.3120000000000002,5.206923375502476e-05,0.3120000000000002,-5.619151110586134e-14,0.3120000000000002,-2.873846627199192e-06,0.3120000000000002,-1.858195294816583e-14,0.3120000000000002,-3.248234731161945e-15,0.3120000000000002,-8.155990368379419e-15,0.3120000000000002,3.561196805773074e-07
0.3200000000000002,-0.3200000000000003,0.3200000000000002,-0.2,0.3200000000000002,-0.2566417921368623,0.3200000000000002,-0.08940912122505916,0.3200000000000002,17.42162185980871,0.3200000000000002,132.9492585592604,0.3200000000000002,5.771515499830485e-05,0.3200000000000002,-5.908566911239161e-14,0.3200000000000002,-3.312846270183651e-06,0.3200000000000002,-1.904944332400597e-14,0.3200000000000002,-3.274116035400286e-15,0.3200000000000002,-8.172021592571496e-15,0.3200000000000002,4.341141547064669e-07
0.3280000000000002,-0.3280000000000003,0.3280000000000002,-0.2,0.3280000000000002,-0.2566417921368623,0.3280000000000002,-0.09422472531540038,0.3280000000000002,16.73170576433511,0.3280000000000002,120.0689947622627,0.3280000000000002,6.354318206951253e-05,0.3280000000000002,-6.163213272109575e-14,0.3280000000000002,-3.797770709394838e-06,0.3280000000000002,-1.945365332078148e-14,0.3280000000000002,-3.303121036546014e-15,0.3280000000000002,-8.188517547276348e-15,0.3280000000000002,5.292222375587334e-07
0.3360000000000002,-0.3360000000000003,0.3360000000000002,-0.2,0.3360000000000002,-0.2566417921368623,0.3360000000000002,-0.09921343073515436,0.3360000000000002,16.05322864024546,0.3360000000000002,107.6974071471025,0.3360000000000002,6.950886462522179e-05,0.3360000000000002,-6.385598001222507e-14,0.3360000000000002,-4.329899373103998e-06,0.3360000000000002,-1.980026420929047e-14,0.3360000000000002,-3.335469292493291e-15,0.3360000000000002,-8.205543795306531e-15,0.3360000000000002,6.454088957803831e-07
0.3440000000000003,-0.3440000000000003,0.3440000000000003,-0.2,0.3440000000000003,-0.2566417921368623,0.3440000000000003,-0.1043607812735742,0.3440000000000003,15.39009420470962,0.3440000000000003,95.94277476399425,0.3440000000000003,7.5567752289435e-05,0.3440000000000003,-6.578975707080315e-14,0.3440000000000003,-4.910155278111469e-06,0.3440000000000003,-2.0095928340157e-14,0.3440000000000003,-3.371402783977219e-15,0.3440000000000003,-8.223186948790614e-15,0.3440000000000003,7.876335917459242e-07
0.3520000000000003,-0.3520000000000003,0.3520000000000003,-0.2,0.3520000000000003,-0.2566417921368623,0.3520000000000003,-0.10965257281699,0.3520000000000003,14.74541270728572,0.3520000000000003,84.89399469880695,0.3520000000000003,8.167645536288109e-05,0.3520000000000003,-6.746867775614258e-14,0.3520000000000003,-5.539109483382476e-06,0.3520000000000003,-2.034747248460927e-14,0.3520000000000003,-3.411189796216678e-15,0.3520000000000003,-8.24154807061549e-15,0.3520000000000003,9.620993293183896e-07
0.3600000000000003,-0.3600000000000003,0.3600000000000003,-0.2,0.3600000000000003,-0.2566417921368623,0.3600000000000003,-0.1150750984121896,0.3600000000000003,14.12151764343382,0.3600000000000003,74.61924228769658,0.3600000000000003,8.77933723126332e-05,0.3600000000000003,-6.892737721327194e-14,0.3600000000000003,-6.216992714934606e-06,0.3600000000000003,-2.056138658206249e-14,0.3600000000000003,-3.455128240704409e-15,0.3600000000000003,-8.260737756347213e-15,0.3600000000000003,1.176551377647918e-06
