NM0:cdb X,NM0:cdb Y,NM0:cgd X,NM0:cgd Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgs X,NM0:cgs Y,NM0:gm X,NM0:gm Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:vdsat X,NM0:vdsat Y,NM0:vth X,NM0:vth Y,NM0:vds X,NM0:vds Y,NM0:vgs X,NM0:vgs Y
0.3280000000000002,-5.407562366977693e-15,0.3280000000000002,-3.059976726900079e-15,0.3280000000000002,3.841321938327764e-05,0.3280000000000002,-9.973620017410438e-15,0.3280000000000002,-3.340070571338924e-14,0.3280000000000002,0.0006492974229763524,0.3280000000000002,38.06096217827383,0.3280000000000002,1.705940643158485e-05,0.3280000000000002,16.90296812931918,0.3280000000000002,0.1000277342809303,0.3280000000000002,0.2642648364102932,0.3280000000000002,0.2,0.3280000000000002,0.3280000000000002
0.3360000000000002,-5.414217616604807e-15,0.3360000000000002,-3.083224573024277e-15,0.3360000000000002,4.384870634819429e-05,0.3360000000000002,-1.004613528899543e-14,0.3360000000000002,-3.411605635691612e-14,0.3360000000000002,0.0007097566786507672,0.3360000000000002,35.55393731571298,0.3360000000000002,1.996281515457057e-05,0.3360000000000002,16.18649072605017,0.3360000000000002,0.1051048176260782,0.3360000000000002,0.2642648364102932,0.3360000000000002,0.2,0.3360000000000002,0.3360000000000002
0.3440000000000003,-5.421237834749583e-15,0.3440000000000003,-3.10894606429186e-15,0.3440000000000003,4.976984118233274e-05,0.3440000000000003,-1.010812640894059e-14,0.3440000000000003,-3.474046844076801e-14,0.3440000000000003,0.000770626109419311,0.3440000000000003,33.01962066376367,0.3440000000000003,2.333843011906585e-05,0.3440000000000003,15.48379683590971,0.3440000000000003,0.1103303122902543,0.3440000000000003,0.2642648364102932,0.3440000000000003,0.2,0.3440000000000003,0.3440000000000003
0.3520000000000003,-5.428668524651002e-15,0.3520000000000003,-3.137356612020624e-15,0.3520000000000003,5.617767496257304e-05,0.3520000000000003,-1.016128330777489e-14,0.3520000000000003,-3.528774321414689e-14,0.3520000000000003,0.0008313526146721244,0.3520000000000003,30.48638859708761,0.3520000000000003,2.726963254517933e-05,0.3520000000000003,14.79862979785586,0.3520000000000003,0.1156861851312697,0.3520000000000003,0.2642648364102932,0.3520000000000003,0.2,0.3520000000000003,0.3520000000000003
0.3600000000000003,-5.436556687480236e-15,0.3600000000000003,-3.168694282513233e-15,0.3600000000000003,6.306894147638723e-05,0.3600000000000003,-1.020704240155899e-14,0.3600000000000003,-3.576980707147389e-14,0.3600000000000003,0.0008914116648638528,0.3600000000000003,27.9829408970383,0.3600000000000003,3.185553899226509e-05,0.3600000000000003,14.13392462279896,0.3600000000000003,0.1211550947335972,0.3600000000000003,0.2642648364102932,0.3600000000000003,0.2,0.3600000000000003,0.3600000000000003
0.3680000000000003,-5.44495075218044e-15,0.3680000000000003,-3.203221252217672e-15,0.3680000000000003,7.04363229989064e-05,0.3680000000000003,-1.024660441561065e-14,0.3680000000000003,-3.619677365940023e-14,0.3680000000000003,0.0009503160065796123,0.3680000000000003,25.5372797336204,0.3680000000000003,3.721289097712706e-05,0.3680000000000003,13.4918457710711,0.3680000000000003,0.126720646460734,0.3680000000000003,0.2642648364102932,0.3680000000000003,0.2,0.3680000000000003,0.3680000000000003
0.3760000000000003,-5.453900620303471e-15,0.3760000000000003,-3.241225208454839e-15,0.3760000000000003,7.826877137465135e-05,0.3760000000000003,-1.02809611386109e-14,0.3760000000000003,-3.657710409265392e-14,0.3760000000000003,0.001007620881929585,0.3760000000000003,23.1756612761084,0.3760000000000003,4.347754611724208e-05,0.3760000000000003,12.87385587170165,0.3760000000000003,0.1323675749206083,0.3760000000000003,0.2642648364102932,0.3760000000000003,0.2,0.3760000000000003,0.3760000000000003
0.3840000000000003,-5.463457762343662e-15,0.3840000000000003,-3.28302067953601e-15,0.3840000000000003,8.655185905125078e-05,0.3840000000000003,-1.031092486243579e-14,0.3840000000000003,-3.691780821546911e-14,0.3840000000000003,0.001062926441865367,0.3840000000000003,20.9215874849948,0.3840000000000003,5.080524805432234e-05,0.3840000000000003,12.28080428912197,0.3840000000000003,0.1380818602448945,0.3840000000000003,0.2642648364102932,0.3840000000000003,0.2,0.3840000000000003,0.3840000000000003
0.3920000000000003,-5.47367531933853e-15,0.3920000000000003,-3.328950259293772e-15,0.3920000000000003,9.526814113578726e-05,0.3920000000000003,-1.033715695166878e-14,0.3920000000000003,-3.722465262442449e-14,0.3920000000000003,0.001115878254554296,0.3920000000000003,18.79491772011912,0.3920000000000003,5.937127638285949e-05,0.3920000000000003,11.71302642471426,0.3920000000000003,0.1438507868530302,0.3920000000000003,0.2642648364102932,0.3920000000000003,0.2,0.3920000000000003,0.3920000000000003
0.4000000000000003,-5.484608175905175e-15,0.4000000000000003,-3.379385673119675e-15,0.4000000000000003,0.0001043975171539527,0.4000000000000003,-1.036019375090195e-14,0.4000000000000003,-3.750235664886485e-14,0.4000000000000003,0.001166166884162607,0.4000000000000003,16.8111797529072,0.4000000000000003,6.936853339879008e-05,0.4000000000000003,11.17044653892826,0.4000000000000003,0.1496629544666224,0.4000000000000003,0.2642648364102932,0.4000000000000003,0.2,0.4000000000000003,0.4000000000000003
0.4080000000000003,-5.496312979099367e-15,0.4080000000000003,-3.434728615097379e-15,0.4080000000000003,0.000113917588797772,0.4080000000000003,-1.038046912215757e-14,0.4080000000000003,-3.775476736635388e-14,0.4080000000000003,0.001213527440521001,0.4080000000000003,14.98114571272319,0.4080000000000003,8.100364710359743e-05,0.4080000000000003,10.65267842595953,0.4080000000000003,0.1555082512942335,0.4080000000000003,0.2642648364102932,0.4080000000000003,0.2,0.4080000000000003,0.4080000000000003
0.4160000000000003,-5.508848082546228e-15,0.4160000000000003,-3.495411268483125e-15,0.4160000000000003,0.0001238040163721471,0.4160000000000003,-1.039833352654282e-14,0.4160000000000003,-3.798501067276721e-14,0.4160000000000003,0.001257739781824787,0.4160000000000003,13.31071180456583,0.4160000000000003,9.449079810993716e-05,0.4160000000000003,10.15911937821424,0.4160000000000003,0.1613777987770237,0.4160000000000003,0.2642648364102932,0.4160000000000003,0.2,0.4160000000000003,0.4160000000000003
0.4240000000000003,-5.522273398198077e-15,0.4240000000000003,-3.561896404655962e-15,0.4240000000000003,0.0001340308808101966,0.4240000000000003,-1.04140698895919e-14,0.4240000000000003,-3.819561876178585e-14,0.4240000000000003,0.001298629710185567,0.4240000000000003,11.80108585026117,0.4240000000000003,0.000110043238958119,0.4240000000000003,9.68903361925018,0.4240000000000003,0.1672638763141825,0.4240000000000003,0.2642648364102932,0.4240000000000003,0.2,0.4240000000000003,0.4240000000000003
0.4320000000000003,-5.53665013968741e-15,0.4320000000000003,-3.634676939140071e-15,0.4320000000000003,0.0001445710591847469,0.4320000000000003,-1.042790663478015e-14,0.4320000000000003,-3.838863606256787e-14,0.4320000000000003,0.001336071077503451,0.4320000000000003,10.44925047874038,0.4320000000000003,0.0001278628625298788,0.4320000000000003,9.24162197496341,0.4320000000000003,0.1731598331793505,0.4320000000000003,0.2642648364102932,0.4320000000000003,0.2,0.4320000000000003,0.4320000000000003
0.4400000000000003,-5.552040442270504e-15,0.4400000000000003,-3.714274808203109e-15,0.4400000000000003,0.00015539661924021,0.4400000000000003,-1.044002831095921e-14,0.4400000000000003,-3.856570639366474e-14,0.4400000000000003,0.001369988292982712,0.4400000000000003,9.248639156823545,0.4400000000000003,0.0001481286348999733,0.4400000000000003,8.816075276817644,0.4400000000000003,0.1790599935547745,0.4400000000000003,0.2642648364102932,0.4400000000000003,0.2,0.4400000000000003,0.4400000000000003
