NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:vdsat X,NM0:vdsat Y
0.2560000000000002,0.2560000000000002,0.2560000000000002,0.2,0.2560000000000002,0.2298855757036051,0.2560000000000002,20.64085499235235,0.2560000000000002,106.0338754726954,0.2560000000000002,8.592409520202314e-07,0.2560000000000002,9.110864810755347e-05,0.2560000000000002,-1.066198390857413e-13,0.2560000000000002,4.413995842026475e-06,0.2560000000000002,-2.003137630371773e-14,0.2560000000000002,-3.296213220094105e-15,0.2560000000000002,-5.571087474963978e-15,0.2560000000000002,0.07920234576437968
0.2640000000000002,0.2640000000000002,0.2640000000000002,0.2,0.2640000000000002,0.2298855757036051,0.2640000000000002,19.9154594853966,0.2640000000000002,98.89872589733753,0.2640000000000002,1.045413522490482e-06,0.2640000000000002,0.0001033900654101563,0.2640000000000002,-1.120831841361151e-13,0.2640000000000002,5.191447653536186e-06,0.2640000000000002,-2.066416830007348e-14,0.2640000000000002,-3.371195343752566e-15,0.2640000000000002,-5.598083974990385e-15,0.2640000000000002,0.08352816518412594
0.2720000000000002,0.2720000000000002,0.2720000000000002,0.2,0.2720000000000002,0.2298855757036051,0.2720000000000002,19.18080163692292,0.2720000000000002,91.65141016152749,0.2720000000000002,1.270382362699924e-06,0.2720000000000002,0.0001164323349857811,0.2720000000000002,-1.168349226718764e-13,0.2720000000000002,6.070253850385908e-06,0.2720000000000002,-2.120406842695465e-14,0.2720000000000002,-3.456332556342854e-15,0.2720000000000002,-5.626403894133591e-15,0.2720000000000002,0.08809947315380151
0.2800000000000002,0.2800000000000002,0.2800000000000002,0.2,0.2800000000000002,0.2298855757036051,0.2800000000000002,18.44299810888447,0.2800000000000002,84.37102307050579,0.2800000000000002,1.542423816136898e-06,0.2800000000000002,0.0001301358753757838,0.2800000000000002,-1.209486987472764e-13,0.2800000000000002,7.056112819160868e-06,0.2800000000000002,-2.166207049124256e-14,0.2800000000000002,-3.552576208134882e-15,0.2800000000000002,-5.65624306737047e-15,0.2800000000000002,0.09290143421016167
0.2880000000000002,0.2880000000000002,0.2880000000000002,0.2,0.2880000000000002,0.2298855757036051,0.2880000000000002,17.70792159161753,0.2880000000000002,77.13927969212943,0.2880000000000002,1.87178459306565e-06,0.2880000000000002,0.0001443881152479098,0.2880000000000002,-1.245055813130096e-13,0.2880000000000002,8.153871390540406e-06,0.2880000000000002,-2.204958738179043e-14,0.2880000000000002,-3.660994574029475e-15,0.2880000000000002,-5.687830388596549e-15,0.2880000000000002,0.09791787733684715
0.2960000000000002,0.2960000000000002,0.2960000000000002,0.2,0.2960000000000002,0.2298855757036051,0.2960000000000002,16.98094231847296,0.2960000000000002,70.03749767094902,0.2960000000000002,2.271182460250921e-06,0.2960000000000002,0.0001590679362701242,0.2960000000000002,-1.275852381937956e-13,0.2960000000000002,9.367438702199244e-06,0.2960000000000002,-2.237744028771062e-14,0.2960000000000002,-3.782788072367461e-15,0.2960000000000002,-5.721419154491184e-15,0.2960000000000002,0.1031318088240989
0.3040000000000002,0.3040000000000002,0.3040000000000002,0.2,0.3040000000000002,0.2298855757036051,0.3040000000000002,16.26674854847386,0.3040000000000002,63.14372089034875,0.3040000000000002,2.756408656581511e-06,0.3040000000000002,0.0001740498988709241,0.3040000000000002,-1.302608970082696e-13,0.3040000000000002,1.06997350057918e-05,0.3040000000000002,-2.265532584772429e-14,0.3040000000000002,-3.919303402528376e-15,0.3040000000000002,-5.757281559063891e-15,0.3040000000000002,0.1085258898397076
0.3120000000000002,0.3120000000000002,0.3120000000000002,0.2,0.3120000000000002,0.2298855757036051,0.3120000000000002,15.56924219775843,0.3120000000000002,56.53002507921238,0.3120000000000002,3.34703365896187e-06,0.3120000000000002,0.0001892078966820825,0.3120000000000002,-1.325970147399707e-13,0.3120000000000002,1.215267219060694e-05,0.3120000000000002,-2.289161134837786e-14,0.3120000000000002,-4.072046937707566e-15,0.3120000000000002,-5.795705661044139e-15,0.3120000000000002,0.1140828599284732
0.3200000000000002,0.3200000000000002,0.3200000000000002,0.2,0.3200000000000002,0.2298855757036051,0.3200000000000002,14.89149998521828,0.3200000000000002,50.26006323781874,0.3200000000000002,4.067205577282412e-06,0.3200000000000002,0.0002044180095154231,0.3200000000000002,-1.346486837852124e-13,0.3200000000000002,1.372716044197192e-05,0.3200000000000002,-2.309333093409006e-14,0.3200000000000002,-4.242697550518504e-15,0.3200000000000002,-5.836994061936556e-15,0.3200000000000002,0.119785894440088
0.3280000000000002,0.3280000000000002,0.3280000000000002,0.2,0.3280000000000002,0.2298855757036051,0.3280000000000002,14.2357877229063,0.3280000000000002,44.38694197955056,0.3280000000000002,4.946510261870819e-06,0.3280000000000002,0.0002195604639949115,0.3280000000000002,-1.36462036131075e-13,0.3280000000000002,1.542313416522574e-05,0.3280000000000002,-2.326629030070309e-14,0.3280000000000002,-4.433118855239446e-15,0.3280000000000002,-5.88146361704214e-15,0.3280000000000002,0.1256188903666609
