NM1:cdb X,NM1:cdb Y,NM1:cgd X,NM1:cgd Y,NM1:csb X,NM1:csb Y,NM1:id X,NM1:id Y,NM1:cgs X,NM1:cgs Y,NM1:gm X,NM1:gm Y,NM1:gds X,NM1:gds Y,NM1:self_gain X,NM1:self_gain Y,NM1:gmoverid X,NM1:gmoverid Y,NM1:vdsat X,NM1:vdsat Y,NM1:vth X,NM1:vth Y,NM1:vds X,NM1:vds Y,NM1:vgs X,NM1:vgs Y,NM1:cgd X,NM1:cgd Y
0.3040000000000002,-1.05559539293059e-15,0.3040000000000002,-4.50441004207718e-16,0.3040000000000002,-1.4358376318512e-15,0.3040000000000002,1.246102752982559e-08,0.3040000000000002,-1.017471961554234e-15,0.3040000000000002,3.228258425005639e-07,0.3040000000000002,4.074266575522331e-09,0.3040000000000002,79.23532653461115,0.3040000000000002,25.90683969834974,0.3040000000000002,0.0481352835046684,0.3040000000000002,0.5207519285322714,0.3040000000000002,0.7,0.3040000000000002,0.3040000000000002,0.3040000000000002,-4.50441004207718e-16
0.3120000000000002,-1.055604134281014e-15,0.3120000000000002,-4.523451276829078e-16,0.3120000000000002,-1.441960216993862e-15,0.3120000000000002,1.532150796121573e-08,0.3120000000000002,-1.037250182345026e-15,0.3120000000000002,3.945969606906325e-07,0.3120000000000002,4.99120166559264e-09,0.3120000000000002,79.05850877772122,0.3120000000000002,25.75444674765208,0.3120000000000002,0.048212820301728,0.3120000000000002,0.5207519285322714,0.3120000000000002,0.7,0.3120000000000002,0.3120000000000002,0.3120000000000002,-4.523451276829078e-16
0.3200000000000002,-1.055613250912019e-15,0.3200000000000002,-4.542857008201792e-16,0.3200000000000002,-1.448251149208575e-15,0.3200000000000002,1.881493545410226e-08,0.3200000000000002,-1.057647510308271e-15,0.3200000000000002,4.815176247900809e-07,0.3200000000000002,6.105063246163116e-09,0.3200000000000002,78.87184872207558,0.3200000000000002,25.59230809766729,0.3200000000000002,0.04830718266227627,0.3200000000000002,0.5207519285322714,0.3200000000000002,0.7,0.3200000000000002,0.3200000000000002,0.3200000000000002,-4.542857008201792e-16
0.3280000000000002,-1.05562275001141e-15,0.3280000000000002,-4.562636932915034e-16,0.3280000000000002,-1.454703494558255e-15,0.3280000000000002,2.307405570406665e-08,0.3280000000000002,-1.078649359754253e-15,0.3280000000000002,5.865565614117617e-07,0.3280000000000002,7.455336095155498e-09,0.3280000000000002,78.67607226894948,0.3280000000000002,25.42060958516905,0.3280000000000002,0.04842174039609211,0.3280000000000002,0.5207519285322714,0.3280000000000002,0.7,0.3280000000000002,0.3280000000000002,0.3280000000000002,-4.562636932915034e-16
0.3360000000000002,-1.055632638214431e-15,0.3360000000000002,-4.582800893120054e-16,0.3360000000000002,-1.461309219702638e-15,0.3360000000000002,2.825741722639901e-08,0.3360000000000002,-1.100237226121303e-15,0.3360000000000002,7.132087214110008e-07,0.3360000000000002,9.08867745356948e-09,0.3360000000000002,78.47222272486916,0.3360000000000002,25.23969957633358,0.3360000000000002,0.04856044555214393,0.3360000000000002,0.5207519285322714,0.3360000000000002,0.7,0.3360000000000002,0.3360000000000002,0.3360000000000002,-4.582800893120054e-16
0.3440000000000003,-1.055642921576675e-15,0.3440000000000003,-4.603358833589653e-16,0.3440000000000003,-1.46805920011341e-15,0.3440000000000003,3.455390701565145e-08,0.3440000000000003,-1.122388634419778e-15,0.3440000000000003,8.655786977576901e-07,0.3440000000000003,1.106005659215994e-08,0.3440000000000003,78.26168795295914,0.3440000000000003,25.05009629014289,0.3440000000000003,0.04872790381726775,0.3440000000000003,0.5207519285322714,0.3440000000000003,0.7,0.3440000000000003,0.3440000000000003,0.3440000000000003,-4.603358833589653e-16
0.3520000000000003,-1.055653605554992e-15,0.3520000000000003,-4.62432074992247e-16,0.3520000000000003,-1.474943243051865e-15,0.3520000000000003,4.218800259119378e-08,0.3520000000000003,-1.145077135379134e-15,0.3520000000000003,1.048476718984905e-06,0.3520000000000003,1.343404984476239e-08,0.3520000000000003,78.04621324921472,0.3520000000000003,24.85248541696366,0.3520000000000003,0.04892944570222221,0.3520000000000003,0.5207519285322714,0.3520000000000003,0.7,0.3520000000000003,0.3520000000000003,0.3520000000000003,-4.62432074992247e-16
0.3600000000000003,-1.055664694997389e-15,0.3600000000000003,-4.645696626944542e-16,0.3600000000000003,-1.481950125950164e-15,0.3600000000000003,5.142584865366337e-08,0.3600000000000003,-1.168272353056433e-15,0.3600000000000003,1.26752913807089e-06,0.3600000000000003,1.628630927677248e-08,0.3600000000000003,77.82789314204169,0.3600000000000003,24.64770483010099,0.3600000000000003,0.04917119434679613,0.3600000000000003,0.5207519285322714,0.3600000000000003,0.7,0.3600000000000003,0.3600000000000003,0.3600000000000003,-4.645696626944542e-16
0.3680000000000003,-1.055676194142745e-15,0.3680000000000003,-4.66749636652569e-16,0.3680000000000003,-1.489067650503053e-15,0.3680000000000003,6.258228191081425e-08,0.3680000000000003,-1.191940086676122e-15,0.3680000000000003,1.529305282108759e-06,0.3680000000000003,1.970522269940631e-08,0.3680000000000003,77.60913466635601,0.3680000000000003,24.43671332516539,0.3680000000000003,0.0494601259570366,0.3680000000000003,0.5207519285322714,0.3680000000000003,0.7,0.3680000000000003,0.3680000000000003,0.3680000000000003,-4.66749636652569e-16
0.3760000000000003,-1.055688106631005e-15,0.3760000000000003,-4.68972970408203e-16,0.3760000000000003,-1.496282712403782e-15,0.3760000000000003,7.60289410968416e-08,0.3760000000000003,-1.216042468299948e-15,0.3760000000000003,1.841462081437249e-06,0.3760000000000003,2.379377929630337e-08,0.3760000000000003,77.39258478048252,0.3760000000000003,24.22054095519479,0.3760000000000003,0.04980411809343799,0.3760000000000003,0.5207519285322714,0.3760000000000003,0.7,0.3760000000000003,0.3760000000000003,0.3760000000000003,-4.68972970408203e-16
0.3840000000000003,-1.055700435524345e-15,0.3840000000000003,-4.712406113109877e-16,0.3840000000000003,-1.503581386257692e-15,0.3840000000000003,9.220360678284139e-08,0.3840000000000003,-1.240538176604191e-15,0.3840000000000003,2.212906829516593e-06,0.3840000000000003,2.867164683601678e-08,0.3840000000000003,77.1810158716374,0.3840000000000003,24.00021980599648,0.3840000000000003,0.05021198034457171,0.3840000000000003,0.5207519285322714,0.3840000000000003,0.7,0.3840000000000003,0.3840000000000003,0.3840000000000003,-4.712406113109877e-16
0.3920000000000003,-1.055713183339519e-15,0.3920000000000003,-4.735534697191537e-16,0.3920000000000003,-1.51094902479366e-15,0.3920000000000003,1.116209112787595e-07,0.3920000000000003,-1.265382705611518e-15,0.3920000000000003,2.653976482386892e-06,0.3920000000000003,3.447745113103827e-08,0.3920000000000003,76.9771660990813,0.3920000000000003,23.77669607027781,0.3920000000000003,0.05069346145146462,0.3920000000000003,0.5207519285322714,0.3920000000000003,0.7,0.3920000000000003,0.3920000000000003,0.3920000000000003,-4.735534697191537e-16
